"Name","d","s","intervention_frac","seed","shd","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","constraint_mode","hid_dim","lr_init","model","model_kwargs.dim_hidden","model_kwargs.num_layers","model_kwargs.power_iteration_n_steps","n","nonlin","num_layers","num_modules","num_vars","number_of_samples","p","reg_coeff","stage1_kwargs.alpha","stage1_kwargs.batch_size","stage1_kwargs.beta","stage1_kwargs.gamma_increment","stage1_kwargs.learning_rate","stage1_kwargs.mask_threshold","stage1_kwargs.n_epochs","stage1_kwargs.n_epochs_check","stage2_kwargs.alpha","stage2_kwargs.batch_size","stage2_kwargs.beta","stage2_kwargs.dag_penalty_flavor","stage2_kwargs.freeze_gamma_at_dag","stage2_kwargs.freeze_gamma_threshold","stage2_kwargs.gamma_increment","stage2_kwargs.gamma_schedule","stage2_kwargs.learning_rate","stage2_kwargs.n_epochs","stage2_kwargs.n_epochs_check","stage2_kwargs.threshold","Aug_lag/gamma","Aug_lag/mu","Monitor/checkup","Monitor/stationary","Train/aug_lagrangian","Train/nll","Train/not_nll","Val/acyclic","Val/aug_lagrangian","Val/constraint_violation","Val/nll","Val/not_nll","Val/reg_value","alpha","dag","epoch","epoch_loss","fraction_edges_mask","gamma","is_prescreen","l1","l2","n_edges_pred","n_edges_pred_double_th","n_edges_pred_half_th","nll","precision","precision_double_th","precision_half_th","recall","recall_double_th","recall_half_th","recall_mask","score","score_double_th","score_half_th","shd_double_th","shd_half_th","train_time","trainer/global_step","validation_loss"
"DCDI","40","2","1","3","82","finished","-","achille","","2023-10-10T09:52:27.000Z","3234","","","exp","16","0.001","DCDI","","","","10000","","2","","40","","0.1","0.1","","","","","","","","","","","","","","","","","","","","","238778586562035700","1.3937965664374055e+34","761","237","0.0358193963766098","0.026643013581633568","0.009176382794976234","1","0.004894257057458162","0","-0.004282041452825069","0.00917629897594452","0.0917629823088646","","","1518","","","","","","","146","","","","0.4657534246575342","","","0.85","","","","90","","","","","3224.0953357219696","285571",""
"DCDI","40","2","1","4","44","finished","-","achille","","2023-10-10T09:46:26.000Z","2450","","","exp","16","0.001","DCDI","","","","10000","","2","","40","","0.1","0.1","","","","","","","","","","","","","","","","","","","","","25432245116338176","5.444517837646116e+31","569","205","0.2228221595287323","0.2163432538509369","0.00647890567779541","1","0.25235921144485474","1.9823835744230802e-21","0.24588042497634888","0.006478786468505859","0.06428345292806625","","","1135","","","","","","","103","","","","0.6310679611650486","","","0.8125","","","","53","","","","","2440.0023827552795","213567",""
"DCDI","20","8","1","3","12","finished","-","achille","","2023-10-10T09:39:49.000Z","3116","","","exp","16","0.001","DCDI","","","","10000","","2","","20","","0.1","0.1","","","","","","","","","","","","","","","","","","","","","328753536","24178516245348350","596","119","-0.1883562207221985","-0.22713010013103485","0.038773879408836365","1","-0.13530562818050385","4.2746073336801665e-14","-0.17407947778701782","0.03877384960651398","0.3875982165336609","","","1189","","","","","","","155","","","","0.9741935483870968","","","0.94375","","","","13","","","","","3102.223293066025","148749",""
"DCDI","20","8","1","5","24","finished","-","achille","","2023-10-10T09:36:48.000Z","3573","","","exp","16","0.001","DCDI","","","","10000","","2","","20","","0.1","0.1","","","","","","","","","","","","","","","","","","","","","626055936","96714064981393400","570","110","-0.23147781193256375","-0.2699510455131531","0.038473233580589294","1","-0.15860557556152344","7.694292794048485e-13","-0.19707876443862915","0.03847318887710571","0.3799147009849548","","","1137","","","","","","","152","","","","0.9342105263157896","","","0.8875","","","","28","","","","","3558.4979770183563","142249",""
"SDCI","40","8","1","5","74","finished","-","achille","","2023-10-10T09:34:05.000Z","3520","","256","","","","SDCI","10","1","15","10000","","","","","24000","0.1","","0.01","256","0.0002","0","0.002","0.2","2000","100","0.0005","256","0.005","power_iteration","true","0.01","0.005","linear","0.001","2000","100","0.1","","","","","","","","","","","","","","0.0005","0.9808987112755472","3681","13.876943283892691","0.2825","9.504752376188094","0","0.4976499343806125","7.852884155638675","314","308","318","-3.796789988558343","0.89171974522293","0.8961038961038961","0.8867924528301887","0.875","0.8625","0.88125","0.9125","74","76","74","76","73","3500.198460817337","","-83.46243095397949"
"SDCI","20","8","1","5","35","finished","-","achille","","2023-10-10T09:34:00.000Z","3762","","256","","","","SDCI","10","1","15","10000","","","","","16000","0.1","","0.01","256","0.0002","0","0.002","0.2","2000","100","0.0005","256","0.005","power_iteration","true","0.01","0.005","linear","0.001","2000","100","0.1","","","","","","","","","","","","","","0.0005","0.7994653733949812","3861","9.50705493442596","0.6325","9.504752376188094","0","0.19872851338651443","4.544874335092212","148","142","151","-2.8352681625457037","0.8986486486486487","0.9295774647887324","0.8940397350993378","0.83125","0.825","0.84375","0.975","42","38","41","34","35","3746.611716032028","","-36.333231687545776"
"SDCI","40","8","1","4","88","finished","-","achille","","2023-10-10T09:30:14.000Z","3220","","256","","","","SDCI","10","1","15","10000","","","","","24000","0.1","","0.01","256","0.0002","0","0.002","0.2","2000","100","0.0005","256","0.005","power_iteration","true","0.01","0.005","linear","0.001","2000","100","0.1","","","","","","","","","","","","","","0.0005","1.030842731607721","2881","3.6125374702697104","0.3225","9.504752376188094","0","0.4937271532860208","7.9076338981060275","335","321","339","-14.58672829891773","0.844776119402985","0.8629283489096573","0.8436578171091446","0.884375","0.865625","0.89375","0.946875","89","87","87","86","86","3209.322545528412","","-341.5307493209839"
"DCDI","30","6","1","0","76","finished","-","achille","","2023-10-10T09:26:45.000Z","3973","","","exp","16","0.001","DCDI","","","","10000","","2","","30","","0.1","0.1","","","","","","","","","","","","","","","","","","","","","4709273829376","6.490371033723493e+24","615","168","-0.3822983205318451","-0.40908876061439514","0.02679044008255005","1","-0.2911582887172699","2.9109838196042572e-18","-0.3179510235786438","0.0267927348613739","0.2677902281284332","","","1226","","","","","","","241","","","","0.7136929460580913","","","0.9555555555555556","","","","77","","","","","3960.460875272751","192638",""
"DCDI","40","4","0.75","4","111","finished","-","achille","","2023-10-10T09:24:07.000Z","2694","","","exp","16","0.001","DCDI","","","","10000","","2","","40","","0.1","0.1","","","","","","","","","","","","","","","","","","","","","103751429025431550","3.4844914160935143e+33","744","236","-0.16826707124710083","-0.18436840176582336","0.016101330518722534","1","-0.12258213758468628","6.607945248076933e-21","-0.13868345320224762","0.01610131561756134","0.15415668487548828","","","1485","","","","","","","247","","","","0.582995951417004","","","0.9","","","","119","","","","","2685.315656900406","233301",""
"DCDI","40","6","0.75","3","146","finished","-","achille","","2023-10-10T09:23:41.000Z","3160","","","exp","16","0.001","DCDI","","","","10000","","2","","40","","0.1","0.1","","","","","","","","","","","","","","","","","","","","","44500839053656060","1.7422457080467572e+33","789","217","-0.15354205667972565","-0.1765560358762741","0.023013979196548465","1","-0.11372436583042143","4.845825875753177e-22","-0.13673840463161469","0.023014038801193237","0.22992464900016785","","","1574","","","","","","","368","","","","0.6222826086956522","","","0.9541666666666668","","","","150","","","","","3151.275726556778","247274",""
